((1895.0943883000157, 2291.517339677221), (589.2963325842177, 207.32472146283487), (1360.9988331385975, 1611.9657087732971))
((2292.02469330371, 377.8194095316431), (2199.885679730508, 1769.8618205255543), (794.7104657835624, 333.3442788514057))
((2168.6050601295506, 190.1934083834972), (1515.6064587637497, 1844.8768340399738), (810.2134973075448, 789.6787736907781))
((1714.994281609192, 1430.3660572046917), (263.2164020673136, 479.5652104632014), (986.6519011307354, 948.7568471026325))
((2317.9192762130806, 1823.5156090131286), (1245.0721155948993, 314.3837968862084), (662.7263251978007, 2407.8561835756877))
((628.845439563891, 17.29153325805366), (229.45968168934738, 1366.0440028586997), (2274.165978187671, 2066.8850859569684))
((577.3259823033347, 5.815264835517531), (1730.289397368909, 646.9418474395966), (2284.760030256796, 2190.3692193950765))
((2467.920028093896, 1611.0017332888176), (2273.130281917967, 501.2918063756733), (1969.0132030567386, 1616.6863361017827))
((2155.268134889857, 711.7066415933041), (1257.4873449860486, 2181.861760869931), (1000.729965722317, 311.7917777969309))
((611.3609221790042, 2393.020661229561), (2115.5839606188656, 1638.7199550520754), (1502.787908574781, 1735.8333569502577))
((498.1206374410971, 1972.49307186456), (1976.3111873877465, 257.9700201379803), (1029.2583485105472, 786.3976695013844))
((631.9876686250806, 2449.186026293966), (340.7922924395604, 802.3401438979577), (1480.148810764814, 1038.405702629449))
((1535.3033533451132, 1267.5646367989434), (1708.700253642158, 411.11699385174006), (101.11359144013565, 1208.1377397787205))
((1635.9934246959233, 929.1105644228248), (717.2244660590227, 1199.991544226345), (587.1679129824045, 156.64845333323103))
((1143.5393279257298, 947.1144107524201), (759.1536785188684, 1752.3753029042036), (1639.470895455339, 517.7491707521933))
((2339.2233022387813, 1909.8141008432426), (1530.2234467178885, 2291.5830397025675), (185.17227474247943, 2167.637158766152))
((798.0595210328639, 2167.660978664907), (401.3311485952439, 2204.2014191234466), (1413.0166601692267, 2283.15462617506))
((157.36266372872205, 671.0562358292555), (105.48704324032404, 337.3964948338362), (1274.7640313492223, 162.00075133708498))
((938.1283780615831, 1077.5084640351226), (1745.663318711176, 118.87344265879119), (1689.566457226746, 1569.6096997384027))
((2037.3845227500437, 1377.0143038693225), (592.5161807946672, 1469.0156810553267), (2184.629862477129, 644.7254794183988))
((1331.9199623861841, 631.0138203811505), (478.5736646779987, 1512.8572106034765), (2118.0079712315815, 499.7562440246911))
((1284.2696926441981, 842.9466509007705), (269.8842714044186, 93.02427603305242), (2311.492949598796, 943.0540174893406))
((304.86606816951786, 1657.281319965257), (854.7153086840012, 1841.3917253245015), (716.2346536799552, 703.0536386383071))
((462.5925564920272, 342.71946344419933), (2180.6877734682794, 2276.6239026627018), (994.5950859529456, 2456.1660327439117))
((972.7546501986944, 999.3510026892067), (956.6704801950912, 1214.845763961779), (2171.2558380048977, 2367.151209608638))
((2108.6616381192894, 1123.2500643193318), (1363.657729894912, 376.4286962321875), (1722.5357467668823, 113.7084466893623))
((1661.970312687987, 150.10418081437882), (2479.2520761821647, 1712.0742506859835), (2376.215877688255, 633.7043534144743))
((2459.4152230976497, 1789.5165197203291), (10.014750788932547, 1779.8515768089378), (1918.208441629025, 938.5125544626211))
((621.3415805820457, 1006.6433163848235), (1687.9670056743576, 146.24599693804004), (2423.3477256333845, 611.4186150811171))
((948.3997497407121, 2189.116253695878), (1727.3931527866941, 376.033529644019), (2303.4233227172595, 1899.3520814707542))
